sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
ERR4613659	216849	200511	92.47	189859	174465	80.45	172370	79.49
ERR4613660	213015	197484	92.71	186174	170275	79.94	168202	78.96
ERR4613661	214845	199201	92.72	187703	171307	79.74	168994	78.66
ERR4613662	209033	194475	93.04	182713	166216	79.52	163985	78.45
ERR4613663	199314	184896	92.77	173276	156785	78.66	154957	77.75
ERR4613664	209557	196154	93.6	181360	165244	78.85	163807	78.17
ERR4613665	328013	304607	92.86	301006	292554	89.19	288667	88
ERR4613666	284918	264238	92.74	260765	254510	89.33	252260	88.54
ERR4613667	229903	213953	93.06	210311	202525	88.09	199595	86.82
ERR4613668	243195	225746	92.83	222075	215206	88.49	211795	87.09
ERR4613669	226337	209459	92.54	205936	199117	87.97	196284	86.72
ERR4613670	316928	295706	93.3	291554	282763	89.22	277838	87.67
ERR4613671	274748	255914	93.14	250646	240985	87.71	237608	86.48
ERR4613672	277183	257521	92.91	252614	242990	87.66	238988	86.22
ERR4613673	263220	244923	93.05	240954	232544	88.35	227978	86.61
ERR4613674	235888	219649	93.12	215846	208657	88.46	203602	86.31
ERR4613675	299711	278618	92.96	273709	263965	88.07	257983	86.08
