"Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"Bacteria" "Tenericutes" "Mollicutes" "Acholeplasmatales" "Acholeplasmataceae" "Candidatus_Phytoplasma" "Neoaliturus_pulcher"
"Bacteria" "Firmicutes" "Negativicutes" "Selenomonadales" "Sporomusaceae" "Anaerosinus" "Anaerosinus_glycerini"
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Oceanospirillales" "Halomonadaceae" "Candidatus_Carsonella" "Candidatus_Carsonella_Carsonella"
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Oceanospirillales" "Halomonadaceae" "Candidatus_Carsonella" "Candidatus_Carsonella_Carsonella"
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Oceanospirillales" "Halomonadaceae" "Candidatus_Carsonella" "Candidatus_Carsonella_Carsonella"
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Oceanospirillales" "Halomonadaceae" "Candidatus_Carsonella" "Candidatus_Carsonella_Carsonella"
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Oceanospirillales" "Halomonadaceae" "Candidatus_Carsonella" "Candidatus_Carsonella_Carsonella"
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Oceanospirillales" "Halomonadaceae" "Candidatus_Carsonella" "Candidatus_Carsonella_ruddii"
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Oceanospirillales" "Halomonadaceae" "Candidatus_Carsonella" "Candidatus_Carsonella_ruddii"
"Bacteria" "Tenericutes" "Mollicutes" "Acholeplasmatales" "Acholeplasmataceae" "Candidatus_Phytoplasma" "'Solanum_tuberosum'_phytoplasma"
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Anaplasmataceae" "Ehrlichia" "Ehrlichia_ewingii"
"Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Pediococcus" "Pediococcus_argentinicus"
"Bacteria" "Actinobacteria" "Actinomycetia" "Actinomycetales" "Actinomycetaceae" "Actinotignum" "Actinotignum_sanguinis"
"Bacteria" "Fusobacteria" "Fusobacteriia" "Fusobacteriales" "Fusobacteriaceae" "Fusobacterium" "Fusobacterium_naviforme"
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Rickettsiaceae" "Occidentia" "Occidentia_massiliensis"
"Bacteria" "Firmicutes" "Clostridia" "Eubacteriales" "Clostridiaceae" "Paraclostridium" "bacterium_1490_2009"
"Bacteria" "Cyanobacteria" NA "Synechococcales" "Coelosphaeriaceae" "Woronichinia" "Woronichinia_naegeliana"
"Bacteria" "Firmicutes" "Bacilli" "RF39" "RF39" "RF39" "Firmicutes_oral"
"Bacteria" "Acidobacteria" "Blastocatellia" "Blastocatellales" "Blastocatellaceae" "Aridibacter" "Aridibacter_kavangonensis"
"Bacteria" "Firmicutes" "Clostridia" "Eubacteriales" "Clostridiaceae" "Clostridium" "Clostridium_ruminantium"
"Bacteria" "Firmicutes" "Clostridia" "Eubacteriales" "Peptostreptococcaceae" "Romboutsia" "Romboutsia_sedimentorum"
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Oceanospirillales" "Halomonadaceae" "Candidatus_Carsonella" "Candidatus_Carsonella_Carsonella"
"Bacteria" "Tenericutes" "Mollicutes" "Mycoplasmatales" "Mycoplasmataceae" "Ureaplasma" "Ureaplasma_felinum"
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Oceanospirillales" "Halomonadaceae" "Candidatus_Carsonella" "Candidatus_Carsonella_ruddii"
"Bacteria" "Tenericutes" "Mollicutes" "Mycoplasmatales" "Mycoplasmataceae" "Mycoplasmopsis" "Mycoplasmopsis_cricetuli"
"Bacteria" "Tenericutes" "Mollicutes" "Mycoplasmatales" "Mycoplasmataceae" "Mycoplasmopsis" "Mycoplasmopsis_cricetuli"
"Bacteria" "Tenericutes" "Mollicutes" "Mycoplasmatales" "Mycoplasmataceae" "Mycoplasmopsis" "Mycoplasmopsis_cricetuli"
"Bacteria" "Tenericutes" "Mollicutes" "Mycoplasmatales" "Mycoplasmataceae" "Mycoplasmopsis" "Mycoplasmopsis_cricetuli"
"Bacteria" "Tenericutes" "Mollicutes" "Mycoplasmatales" "Mycoplasmataceae" "Mycoplasmopsis" "Mycoplasmopsis_cricetuli"
"Bacteria" "Tenericutes" "Mollicutes" "Mycoplasmatales" "Mycoplasmataceae" "Mycoplasmopsis" "Mycoplasmopsis_cricetuli"
"Bacteria" "Tenericutes" "Mollicutes" "Mycoplasmatales" "Mycoplasmataceae" "Mycoplasmopsis" "Mycoplasmopsis_cricetuli"
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Legionellales" "Legionellaceae" "Legionella" "Legionella_gresilensis"
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Oceanospirillales" "Halomonadaceae" "Candidatus_Carsonella" "Candidatus_Carsonella_Carsonella"
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Oceanospirillales" "Halomonadaceae" "Candidatus_Carsonella" "Candidatus_Carsonella_Carsonella"
